File Name,Image,Task Type,VME or not?,Possible for VME Error to exist?,"If so, does VME error exist?",No Pen,No Man,Shape,Number of Protrusions,Incorrect/Missing Rune,Missing Carrot,Missing Castle,Use Mickey Mouse,Missing Word,Missing Moon,No Tie,No Stripes,Bart Hair,Wrong Colors,Tail,Wrong Object,Wrong Shape,No Bunny Ears,Wrong Colors,Four Spikes,Wrong Number ,Wrong Hair Color,No Mustache,Not Bowtie,Wrong Shape,Wrong Face,No Clothes,Wrong Bars,Wrong Pattern,Wrong Circle,Missing Mermaid,Trident
Bic_ST_110,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_167,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_211,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_259,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_334,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_344,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_365,Bic,ST,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_580,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_583,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_591,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_667,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_672,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_802,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_988,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1109,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1111,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1281,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1390,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1405,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1438,Bic,ST,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1471,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1542,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_1590,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_29,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_37,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_83,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_91,Biohaz,LT,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_144,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_159,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_257,Biohaz,LT,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_383,Biohaz,LT,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_384,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_477,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_485,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_560,Biohaz,LT,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_573,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_589,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_595,Biohaz,LT,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_625,Biohaz,LT,Not,N/A,N/A,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_752,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_770,Biohaz,LT,Not,N/A,N/A,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_909,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1096,Biohaz,LT,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1117,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1144,Biohaz,LT,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1181,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1284,Biohaz,LT,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1332,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1388,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1474,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1524,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1582,Biohaz,LT,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_LT_1601,Biohaz,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_2,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_44,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_134,Biohaz,ST,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_329,Biohaz,ST,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_446,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_562,Biohaz,ST,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_764,Biohaz,ST,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_804,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_822,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_890,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_985,Biohaz,ST,Not,N/A,N/A,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1012,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1031,Biohaz,ST,Not,N/A,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1057,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1074,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1094,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1124,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1287,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1313,Biohaz,ST,Not,N/A,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biohaz_ST_1533,Biohaz,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_4,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_34,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_90,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_127,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_129,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_208,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_214,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_444,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_469,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_516,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_528,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_612,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_631,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_670,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_700,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_703,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_786,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_799,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_826,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_834,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_961,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_983,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1009,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1033,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1101,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1212,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1221,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1255,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1262,Bluetooth,LT,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1306,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1338,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1347,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1413,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1414,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1422,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1468,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1523,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1541,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_LT_1595,Bluetooth,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_93,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_376,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_403,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_525,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_656,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_722,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_879,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_921,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_1330,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_1334,Bluetooth,ST,Not,N/A,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluetooth_ST_1473,Bluetooth,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_13,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_104,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_154,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_169,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_183,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_186,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_199,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_204,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_216,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_219,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_255,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_260,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_269,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_341,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_355,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_398,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_410,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_442,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_484,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_531,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_549,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_626,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_655,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_714,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_723,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_740,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_785,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_806,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_808,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_843,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_938,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1054,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1075,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1102,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1110,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1116,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1123,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1126,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1158,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1209,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1230,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1253,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1260,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1309,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1344,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1384,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1389,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_LT_1574,Bugs,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_ST_640,Bugs,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_ST_846,Bugs,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugs_ST_1486,Bugs,ST,Not,N/A,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_28,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_46,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_137,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_164,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_277,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_314,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_327,C3P0,LT,VME,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_368,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_389,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_422,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_445,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_475,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_480,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_482,C3P0,LT,VME,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3P0_LT_538,C3P0,LT,VME,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
